mean_beta_short,mean_beta_long,mean_ivb,mean_ivb_formula,mean_theta,mean_pi,mean_abs_ivb_over_beta,mean_abs_ivb_over_se,mean_se_short,mean_se_long,bias_short,bias_long,rmse_short,rmse_long,coverage_short,coverage_long,mechanism,gamma_D,gamma_Y,sigma2_me,N,TT,beta
1.0006224159532,0.835261552435863,-0.165360863517333,-0.165360863517333,0.275731093387537,0.599680497785464,0.165360863517333,8.5918332225347,0.0186229295015361,0.0192460327998326,0.000622415953195565,-0.164738447564137,0.0180616785519077,0.165735688480023,0.952,0,D,0.3,0.3,0,200,30,1
0.998749143458143,0.601926132312506,-0.396823011145637,-0.396823011145637,0.441263399058751,0.899325127959403,0.396823011145637,21.8313588734145,0.018615507939496,0.0181777670573926,-0.00125085654185664,-0.398073867687494,0.0184635823049681,0.398471811468648,0.968,0,D,0.3,0.6,0,200,30,1
1.00012533318824,0.752668168350159,-0.247457164838083,-0.247457164838083,0.275005433553475,0.899796897626967,0.247457164838083,11.8529348019579,0.0186086705628972,0.0208772400124658,0.000125333188242038,-0.247331831649841,0.0186931468244257,0.248243065785558,0.96,0,D,0.6,0.3,0,200,30,1
0.999621697898996,0.470080682250644,-0.529541015648351,-0.529541015648351,0.441417924121097,1.1996313676628,0.529541015648351,26.8279788692661,0.0186246116050936,0.0197393761258201,-0.000378302101004424,-0.529919317749356,0.0194049131888953,0.530300244612503,0.946,0,D,0.6,0.6,0,200,30,1
0.999688787084004,0.885741976582428,-0.113946810501576,-0.113946810501576,0.189516890192942,0.601212015028505,0.113946810501576,5.97259683241936,0.0186161843223528,0.019078801889402,-0.000311212915996006,-0.114258023417572,0.0178592538699988,0.115712125346984,0.96,0,D,0.3,0.3,0.5,200,30,1
0.998418886074078,0.708974844574117,-0.289444041499961,-0.289444041499961,0.322032503042637,0.898835351395688,0.289444041499961,15.6959865624055,0.0186050687811617,0.0184415382204644,-0.00158111392592153,-0.291025155425883,0.0193284164751939,0.291666907847707,0.94,0,D,0.3,0.6,0.5,200,30,1
1.00134671329588,0.831249287892118,-0.170097425403765,-0.170097425403765,0.18923523541745,0.898849603748684,0.170097425403765,8.39940029255585,0.0186189102203151,0.0202515444084803,0.00134671329588265,-0.168750712107882,0.0195114259302861,0.170099381660898,0.944,0,D,0.6,0.3,0.5,200,30,1
0.998282244371626,0.612951163472629,-0.385331080898997,-0.385331080898997,0.321914688968569,1.1970195371237,0.385331080898997,19.5704085197321,0.0186203861781368,0.0196904895366727,-0.00171775562837384,-0.387048836527371,0.017957179531403,0.387529577802271,0.952,0,D,0.6,0.6,0.5,200,30,1
0.999378829046427,0.913473690335552,-0.0859051387108744,-0.0859051387108744,0.143433741753076,0.598865018056429,0.0859051387108744,4.5218520452901,0.0186379364434464,0.0189989174542765,-0.000621170953573058,-0.0865263096644475,0.0185759693618154,0.0885136688871803,0.946,0.002,D,0.3,0.3,1,200,30,1
1.00059782010304,0.771018948861803,-0.229578871241236,-0.229578871241236,0.254427399819764,0.902370047131013,0.229578871241236,12.3688252504351,0.0186216536139021,0.0185623044375174,0.000597820103038993,-0.228981051138197,0.0186554041972438,0.229721651506349,0.962,0,D,0.3,0.6,1,200,30,1
0.998874769897606,0.870235044765985,-0.128639725131621,-0.128639725131621,0.143124586828112,0.898753530397674,0.128639725131621,6.46321371144275,0.0186247635211381,0.0199040994674811,-0.00112523010239374,-0.129764955234015,0.0191616110141172,0.131359264314401,0.938,0,D,0.6,0.3,1,200,30,1
1.00017682576161,0.694648690669238,-0.305528135092375,-0.305528135092375,0.254560797004251,1.20020346474272,0.305528135092375,15.593272311086,0.0186353548047176,0.0195949173920797,0.000176825761613042,-0.305351309330762,0.019483152538977,0.306004170804599,0.942,0,D,0.6,0.6,1,200,30,1
1.00010695492565,0.941906670657242,-0.058200284268411,-0.058200284268411,0.0968399659352177,0.600932971396297,0.058200284268411,3.08563342898506,0.0186047707053899,0.0188627427036227,0.000106954925652936,-0.0580933293427581,0.0180152735108766,0.0608907605168992,0.952,0.122,D,0.3,0.3,2,200,30,1
0.999816376447987,0.839724946525855,-0.160091429922132,-0.160091429922132,0.178372463092409,0.897464749496382,0.160091429922132,8.59343407616082,0.018626150682507,0.0186305888618277,-0.000183623552012624,-0.160275053474145,0.0189786945243273,0.161258965283201,0.94,0,D,0.3,0.6,2,200,30,1
0.999970793597734,0.912217032871379,-0.0877537607263546,-0.0877537607263546,0.0973147474390741,0.901815852884979,0.0877537607263546,4.49965961624988,0.0186054827757059,0.0195031992337404,-2.92064022658911e-05,-0.0877829671286206,0.0180327359942103,0.0898430235770787,0.96,0.002,D,0.6,0.3,2,200,30,1
0.99957883282497,0.785209784716792,-0.214369048108178,-0.214369048108178,0.178515000483081,1.2006946432907,0.214369048108178,11.0586803055753,0.0186138304243564,0.0193852221935597,-0.000421167175030268,-0.214790215283209,0.0201188229595318,0.215763484923913,0.928,0,D,0.6,0.6,2,200,30,1
