rho_Y,gamma_D,gamma_Y,adl_full_bias,adl_all_bias,adl_full_rmse,adl_all_rmse,dominates
0.3,0.05,0.1,0.0519438789201343,-0.00142086136403041,0.0548635828633915,0.0196771941437651,TRUE
0.3,0.05,0.2,0.052047324841134,-0.00215337196151755,0.0550004501461274,0.0202442943658228,TRUE
0.3,0.05,0.4,0.0555782447209825,-0.00204576123624023,0.0584796825609485,0.0194729156973671,TRUE
0.3,0.15,0.1,0.0499019435612231,-0.00276246653767842,0.0528406711372431,0.0198961152583927,TRUE
0.3,0.15,0.2,0.0518703479731677,-0.0013970931296724,0.0553257824488118,0.021014165645591,TRUE
0.3,0.15,0.4,0.0515814274914093,-0.00364844210199922,0.0545897044739982,0.01951017324678,TRUE
0.3,0.3,0.1,0.0511828889404158,-0.00202166254481095,0.0544186319003318,0.0198205062654173,TRUE
0.3,0.3,0.2,0.0494792425606569,-0.00351927985388467,0.0524190036833509,0.0196724455336928,TRUE
0.3,0.3,0.4,0.0513565262138342,-0.00113259444091385,0.0541921608126282,0.0193205559629931,TRUE
0.5,0.05,0.1,0.0585160820390036,-0.00327882961823522,0.0615057795200619,0.0210748954402215,TRUE
0.5,0.05,0.2,0.0615914027969646,-0.00234171326416899,0.0640817791582177,0.0192948788146976,TRUE
0.5,0.05,0.4,0.0615757022206818,-0.00456153738139153,0.0640948370208497,0.0195418890418666,TRUE
0.5,0.15,0.1,0.0559590999641464,-0.00457973979811488,0.058182504500846,0.0182632256386916,TRUE
0.5,0.15,0.2,0.0570538481886747,-0.00381622593653286,0.059729996427391,0.019560591236678,TRUE
0.5,0.15,0.4,0.0590544596122313,-0.004148635879754,0.0618822173806198,0.0199581892260205,TRUE
0.5,0.3,0.1,0.0561266946345469,-0.00529945737219206,0.0589138763040421,0.0204030952818388,TRUE
0.5,0.3,0.2,0.0548019652508611,-0.00630609661876302,0.0569067519560624,0.019181594898461,TRUE
0.5,0.3,0.4,0.0548491222685283,-0.00533755559405258,0.0576515825261731,0.0188473763118931,TRUE
0.7,0.05,0.1,0.0666987789603724,-0.00750914492435784,0.0688513523581944,0.0202326604107398,TRUE
0.7,0.05,0.2,0.0663473712409091,-0.00845961399263029,0.0683992268313352,0.020157115462411,TRUE
0.7,0.05,0.4,0.0708468503858553,-0.00717405020576412,0.0727975987855199,0.0186356317155974,TRUE
0.7,0.15,0.1,0.0631454546670909,-0.00985267390245637,0.0653184711525555,0.0204837348716194,TRUE
0.7,0.15,0.2,0.0654478025140555,-0.00779352058457372,0.0675619194388896,0.019708141640494,TRUE
