label,phi,beta2,sigma_delta,twfe_s,twfe_l,adl_full,adl_all,adl_nofe
Base,0,0,0,0.433909923724068,0.252460003150677,0.00970912324274709,-0.0020170076535222,-0.0867109317968287
Base,0,0,0.3,0.431090926441972,0.252824773787534,0.00926123494383213,-0.00251413657065824,-0.0854449777609885
Base,0,0,0.5,0.431430468351905,0.25250338330903,0.0114549096694345,-0.000849301568935035,-0.0696564982317956
Base,0,0,1,0.431006877252479,0.250885809964919,0.00913494322889252,-0.00258678706390847,-0.0636074947408264
Feedback,0.1,0,0,0.684135487420976,0.457302324594795,0.00461738947258161,-0.00578935193712571,-0.108794703465052
Feedback,0.1,0,0.3,0.682228199218764,0.451863394020294,0.0035226261755732,-0.00773726527762131,-0.106402385343918
Feedback,0.1,0,0.5,0.682541365522436,0.455080899757553,0.00618374676774747,-0.0051614088856704,-0.0918685939117793
Feedback,0.1,0,1,0.685851777416106,0.456784085501689,0.00529847250597615,-0.00627286552194417,-0.0653430611542342
Carryover,0,0.2,0,0.568620931457888,0.345239794624423,0.0614265953069579,-0.00249395779598061,-0.105762705845688
Carryover,0,0.2,0.3,0.573109417155005,0.347599959852796,0.0622582879262683,-0.00232968409968415,-0.0985639510703947
Carryover,0,0.2,0.5,0.57003355180099,0.346147018791697,0.0611172012212404,-0.00313299932341582,-0.0931058021949135
Carryover,0,0.2,1,0.567820117850937,0.346648042410887,0.0625289396688993,-0.000847169252669144,-0.0599709938001224
Both,0.05,0.2,0,0.758412838422173,0.488709666648991,0.0595481895956336,-0.00252145186480013,-0.115111896362678
Both,0.05,0.2,0.3,0.752566669605465,0.484181651362367,0.0556033177877093,-0.00584441904869615,-0.107873563988528
Both,0.05,0.2,0.5,0.752433790139546,0.485350775183712,0.0580960721653574,-0.00319648468623734,-0.101238012174482
Both,0.05,0.2,1,0.757844499249781,0.486346249256002,0.0606150671792889,-0.00128260695988769,-0.0608632813734098
