gamma_D,delta_Y,twfe_s_bias,twfe_l_bias,adl_s_bias,adl_l_bias,twfe_s_mcse,twfe_l_mcse,adl_s_mcse,adl_l_mcse
0,0,0.276955940809649,0.258826302056228,0.0100189640065729,0.00978254254221089,0.00134389015819921,0.0012930681032379,0.000819350854456976,0.000796726613880062
0,0.05,0.280628091081488,0.246128157756123,0.00744032943253559,0.00970602298651291,0.00141746927185889,0.00131772326522558,0.000852529011966901,0.000844520720780952
0,0.1,0.285282082813662,0.228399018080334,0.00504492770138598,0.00903455747798598,0.00143981243934987,0.00123320525819524,0.000847339480282971,0.00082163886035226
0,0.2,0.295894115884646,0.195299395416184,0.00179436793510535,0.0106155201532345,0.00148541318803829,0.00115278136800815,0.000830028427545552,0.000818320114833008
0,0.3,0.298829662575578,0.166871613162828,-0.00539150619630147,0.00989098836949398,0.00166881869240361,0.00110392026701897,0.000806387313757514,0.000800620645222749
0.05,0,0.30508468681024,0.265371622325384,0.0224235528518226,0.00965997683392783,0.00137110808820666,0.00131181581069698,0.00081061214703524,0.00078961383853673
0.05,0.05,0.315798413450004,0.249890571594851,0.0198138651315771,0.00893865612996114,0.00139399355689367,0.00124045569709866,0.000810028511626709,0.000787581105463717
0.05,0.1,0.329113450068508,0.232766146740033,0.0176532201390378,0.00892080750289215,0.00144099438751124,0.00120748316483249,0.000783911288130148,0.000767226087626608
0.05,0.2,0.364874143730786,0.198249305350174,0.0147600969811108,0.0108602736239833,0.00166455709980459,0.00116204144782099,0.000761320634358245,0.00074366486027279
0.05,0.3,0.395690750539097,0.162461988995922,0.00744689192062098,0.00878351600771499,0.00179283320550459,0.00108268002514936,0.000817484971793433,0.000799981898190218
0.15,0,0.368029261838799,0.288040889334841,0.0493509347583363,0.0117311269255889,0.00138387432221623,0.00133845423343421,0.000826329778982889,0.000814241758944035
0.15,0.05,0.397104103722946,0.272592000570478,0.046036527071458,0.0106118243968103,0.00143937305602541,0.00135244046966717,0.000802905229118433,0.000813131140917738
0.15,0.1,0.429936855908594,0.250799103895079,0.0421464616942437,0.00892822882386435,0.00149162845656856,0.00121125324412429,0.000803038803955704,0.000786998598002677
0.15,0.2,0.518386831719951,0.205282045799481,0.038949667833629,0.00967092880081366,0.00181963620660107,0.00112408725332082,0.000792908923172933,0.000786598722499111
0.15,0.3,0.635612062240998,0.162147148323252,0.0322148368777992,0.0066285961070347,0.00207798394863274,0.00107763287090746,0.000805063536336092,0.000791771332861336
0.3,0,0.463051407198697,0.34174955498003,0.0787584051993449,0.0107957938851044,0.00139805360484254,0.00139439722255777,0.000786133613454541,0.000806459898582498
0.3,0.05,0.520003702080737,0.324728103321595,0.074234465305008,0.00869376788057874,0.00152893013470925,0.00138524897725124,0.000784594431928731,0.000799875721152608
0.3,0.1,0.590735813161991,0.302321278982596,0.0724778454426704,0.00909326152388634,0.00158875283677607,0.00130711164560577,0.000818828055249982,0.000858221991993038
0.3,0.2,0.768051475165296,0.238556941203717,0.0665478390542049,0.00706741499107855,0.00191098823133687,0.00125708734162816,0.000801035140704985,0.000841661686791366
0.3,0.3,1.62469390768809,0.231910351158535,0.0799218569246341,0.0105218033298569,4.68914409598023e-05,0.00106405890898262,0.000820762419354839,0.000824103575754521
