rho_Z,rho_Y,twfe_s_bias,twfe_l_bias,adl_s_bias,adl_l_bias,twfe_s_mcse,twfe_l_mcse,adl_s_mcse,adl_l_mcse
0.3,0,0.0493076446733287,0.000189860836751432,0.0404514233877633,0.00761670051715435,0.000767281189060495,0.000761180311578404,0.000809027548923107,0.000803921138213351
0.3,0.5,0.391047995744687,0.26173021119508,0.0406404340991058,0.00952430809795168,0.00148379608871319,0.00131609169024827,0.000852400917536257,0.000849236264803278
0.3,0.8,0.614525386151154,0.292429897838623,0.0380400312621565,0.00505503289541465,0.00342360075356652,0.00252982885797052,0.00079800281834713,0.00079551612890155
0.5,0,0.0615781601204244,0.000550297950086431,0.0463173931605885,0.00813292933199228,0.000774048810025688,0.000781929623111599,0.000839515228307323,0.000838710357844673
0.5,0.5,0.431790589267796,0.251112239600339,0.0429378187414602,0.00934889750649148,0.00157530497314938,0.00128163462277809,0.000803199563230725,0.000810265693070042
0.5,0.8,0.717832251276219,0.261482698659854,0.0374589016827924,0.00420689826119136,0.00386242058125034,0.00249480162438428,0.000787268251956404,0.00077723103667104
0.7,0,0.0832387324985866,-0.00102600870915248,0.0553611704014243,0.00652083334752329,0.000784684086518721,0.000751345079648998,0.0008276339827142,0.000801850816013487
0.7,0.5,0.506476490266538,0.238442512066469,0.0447311382797273,0.00793355803701301,0.00175059410999064,0.00121148778263921,0.000789927328208313,0.00077110630929535
0.7,0.8,2.27736079727087,0.348501117278254,0.0413983700022853,0.00384895077874026,0.00989337142651873,0.00269410007840625,0.000758025301069223,0.000734231019119716
0.85,0,0.124494410943635,-0.000829201345616815,0.0739148661772873,0.00653128307589657,0.000859540761591108,0.000773528480503545,0.00086286007063923,0.000819949392824524
0.85,0.5,0.710216575472993,0.236313259890251,0.0541994501462695,0.00884247353519396,0.00263327188194912,0.00127973694006945,0.000854786780367968,0.000817834466118439
0.85,0.8,5.78774730545949,0.399633513462867,0.0670897625111817,0.00759048478445346,2.01279013638932e-06,0.00247620034070438,0.00080818062576194,0.00079257211304126
