rho_Z,ar_order,sigma_aZ,twfe_bias_short,twfe_bias_long,twfe_ivb,adl_bias_short,adl_bias_long,adl_ivb,n_sims,twfe_net,adl_net,best_abs_bias,best_model
0.1,1,0.5,0.370980598131838,0.27170695270427,-0.0992736454275679,0.0412115767084234,0.0100618238665515,-0.0311497528418719,200,0.099273645427568,0.0311497528418718,0.0100618238665515,ADL_long
0.1,1,2,0.367617366969454,0.270494520438553,-0.0971228465309016,0.0404750365694149,0.00975381327557656,-0.0307212232938385,200,0.0971228465309015,0.0307212232938383,0.00975381327557656,ADL_long
0.1,3,0.5,0.366718136935957,0.272097686746791,-0.0946204501891659,0.0403753994147271,0.0102902339232838,-0.0300851654914433,200,0.0946204501891659,0.0300851654914434,0.0102902339232838,ADL_long
0.1,3,2,0.36272233428852,0.267855358772098,-0.0948669755164228,0.0387013718692237,0.0085275966630558,-0.0301737752061681,200,0.0948669755164227,0.0301737752061679,0.0085275966630558,ADL_long
0.3,1,0.5,0.391913660205356,0.263177361977603,-0.128736298227753,0.0414019855360712,0.0104097072529907,-0.0309922782830805,200,0.128736298227753,0.0309922782830805,0.0104097072529907,ADL_long
0.3,1,2,0.391487195755129,0.259145604659403,-0.132341591095725,0.0406841193924425,0.00853776934466954,-0.032146350047773,200,0.132341591095726,0.032146350047773,0.00853776934466954,ADL_long
0.3,3,0.5,0.383208797240382,0.263670415068273,-0.119538382172109,0.0396068449520832,0.00999018633775983,-0.0296166586143234,200,0.119538382172109,0.0296166586143234,0.00999018633775983,ADL_long
0.3,3,2,0.379400375216572,0.260979934035733,-0.118420441180839,0.0377705683676208,0.00857932416920515,-0.0291912441984156,200,0.118420441180839,0.0291912441984157,0.00857932416920515,ADL_long
0.5,1,0.5,0.434824216440067,0.253307659679292,-0.181516556760774,0.044362433319094,0.0103630929387839,-0.03399934038031,200,0.181516556760774,0.0339993403803101,0.0103630929387839,ADL_long
0.5,1,2,0.434411678460131,0.250706437810744,-0.183705240649387,0.0437419936111685,0.00968299380705573,-0.0340589998041128,200,0.183705240649387,0.0340589998041128,0.00968299380705573,ADL_long
0.5,3,0.5,0.405308983968729,0.256233516569882,-0.149075467398847,0.0399031812835631,0.0113781381988847,-0.0285250430846784,200,0.149075467398847,0.0285250430846784,0.0113781381988847,ADL_long
0.5,3,2,0.402808443204882,0.250947467362264,-0.151860975842618,0.0377327298771313,0.0088139970367016,-0.0289187328404297,200,0.151860975842618,0.0289187328404297,0.0088139970367016,ADL_long
0.7,1,0.5,0.508154786306672,0.238735251277527,-0.269419535029145,0.044673132809804,0.00767300248318259,-0.0370001303266215,200,0.269419535029146,0.0370001303266214,0.00767300248318259,ADL_long
0.7,1,2,0.513203457077814,0.242342945647871,-0.270860511429943,0.0449177286974558,0.00854191734149024,-0.0363758113559656,200,0.270860511429943,0.0363758113559656,0.00854191734149024,ADL_long
0.7,3,0.5,0.434979984150196,0.240901116933501,-0.194078867216695,0.0354313229225913,0.008618026015633,-0.0268132969069584,200,0.194078867216695,0.0268132969069583,0.008618026015633,ADL_long
0.7,3,2,0.439988782542412,0.242563267959423,-0.19742551458299,0.0367924583177677,0.00868219545859938,-0.0281102628591683,200,0.19742551458299,0.0281102628591683,0.00868219545859938,ADL_long
0.9,1,0.5,2.28205622882893,0.248329868679153,-2.03372636014978,0.104685663027532,0.00870447194382518,-0.0959811910837072,200,2.03372636014978,0.0959811910837072,0.00870447194382518,ADL_long
0.9,1,2,2.28453913617604,0.24660300019023,-2.03793613598581,0.105506075446959,0.00875656449275208,-0.0967495109542072,200,2.03793613598581,0.0967495109542074,0.00875656449275208,ADL_long
0.9,3,0.5,2.26885875067248,0.246601097234869,-2.02225765343761,0.101480003355374,0.00886647231568172,-0.0926135310396922,200,2.02225765343761,0.0926135310396923,0.00886647231568172,ADL_long
0.9,3,2,2.29467606633323,0.245653993493607,-2.04902207283962,0.100663213309769,0.00816544501504923,-0.0924977682947198,200,2.04902207283962,0.0924977682947197,0.00816544501504923,ADL_long
