kappa,phi_U,rho_Z,delta_U,n_discarded,total_s
0,0,0.5,1,0,442.9
0,0,0.7,1,0,442.9
0,0.5,0.5,1,0,442.9
0,0.5,0.7,1,0,442.9
0.3,0,0.5,0.3,0,442.9
0.3,0,0.5,1,0,442.9
0.3,0,0.7,0.3,0,442.9
0.3,0,0.7,1,0,442.9
0.3,0.3,0.5,0.3,0,442.9
0.3,0.3,0.5,1,0,442.9
0.3,0.3,0.7,0.3,0,442.9
0.3,0.3,0.7,1,0,442.9
0.3,0.5,0.5,0.3,0,442.9
0.3,0.5,0.5,1,0,442.9
0.3,0.5,0.7,0.3,0,442.9
0.3,0.5,0.7,1,0,442.9
0.3,0.7,0.5,0.3,0,442.9
0.3,0.7,0.5,1,0,442.9
0.3,0.7,0.7,0.3,0,442.9
0.3,0.7,0.7,1,0,442.9
0.5,0,0.5,0.3,0,442.9
0.5,0,0.5,1,0,442.9
0.5,0,0.7,0.3,0,442.9
0.5,0,0.7,1,0,442.9
0.5,0.3,0.5,0.3,0,442.9
0.5,0.3,0.5,1,0,442.9
0.5,0.3,0.7,0.3,0,442.9
0.5,0.3,0.7,1,0,442.9
0.5,0.5,0.5,0.3,0,442.9
0.5,0.5,0.5,1,0,442.9
0.5,0.5,0.7,0.3,0,442.9
0.5,0.5,0.7,1,0,442.9
0.5,0.7,0.5,0.3,0,442.9
0.5,0.7,0.5,1,0,442.9
0.5,0.7,0.7,0.3,0,442.9
0.5,0.7,0.7,1,0,442.9
