carryover_type,beta_nl,k,rho_Z,elapsed_s,n_discarded,total_s
raw,0,0,0.5,33.206,0,432.753
raw,0,0,0.7,32.955,0,432.753
raw,0.0432,0.05,0.5,33.033,0,432.753
raw,0.0432,0.05,0.7,33.267,0,432.753
raw,0.0864,0.1,0.5,33.192,0,432.753
raw,0.0864,0.1,0.7,31.256,44,432.753
raw,0.216,0.25,0.5,30.418,55,432.753
raw,0.216,0.25,0.7,0,500,432.753
raw,0.432,0.5,0.5,0,500,432.753
raw,0.432,0.5,0.7,0,500,432.753
raw,0.8641,1,0.5,0,500,432.753
raw,0.8641,1,0.7,0,500,432.753
softclamp,0.27,0.25,0.5,33.459,0,432.753
softclamp,0.27,0.25,0.7,33.502,0,432.753
softclamp,0.5401,0.5,0.5,33.522,0,432.753
softclamp,0.5401,0.5,0.7,33.486,0,432.753
softclamp,1.0801,1,0.5,33.445,0,432.753
softclamp,1.0801,1,0.7,33.491,0,432.753
