delta_DH,rho_Z,twfe_s_bias,twfe_s_mcse,twfe_s_sd,twfe_s_rmse,twfe_l_bias,twfe_l_mcse,twfe_l_sd,twfe_l_rmse,adl_Ylag_bias,adl_Ylag_mcse,adl_Ylag_sd,adl_Ylag_rmse,adl_full_bias,adl_full_mcse,adl_full_sd,adl_full_rmse,adl_Dlag_bias,adl_Dlag_mcse,adl_Dlag_sd,adl_Dlag_rmse,adl_DYlag_bias,adl_DYlag_mcse,adl_DYlag_sd,adl_DYlag_rmse,adl_DZlag_bias,adl_DZlag_mcse,adl_DZlag_sd,adl_DZlag_rmse,adl_all_bias,adl_all_mcse,adl_all_sd,adl_all_rmse,adl_all_nofe_bias,adl_all_nofe_mcse,adl_all_nofe_sd,adl_all_nofe_rmse,n_sims,n_discarded
0,0.5,0.430552408521176,0.00157801648487897,0.0352855212980464,0.431993002675545,0.251050639328629,0.00131654270113127,0.029438789750107,0.252767348691599,0.0425483633860086,0.000828140390499306,0.0185177820806967,0.0463959660262575,0.00920928981254376,0.000818229273963426,0.0182961627776252,0.0204668290678359,0.0467999343649146,0.00115142708215924,0.0257466922684229,0.0534022493440085,0.0333428689282684,0.000903436565015325,0.0202014557273317,0.0389747293030243,-0.026386942201122,0.00106630670018338,0.0238433426647353,0.0355476961022017,-0.00289630709302269,0.000890927861495053,0.0199217526135146,0.0201114661205189,-0.0879365303180342,0.000966369942707463,0.0216086888330646,0.0905474181111343,500,0
0,0.7,0.50966647047914,0.00179852310307929,0.0402161991758915,0.511247512582181,0.240846784826336,0.00121437405492829,0.0271542293693171,0.242369658227839,0.0456245906738693,0.000850941379379514,0.0190276276916003,0.0494260031612625,0.00858968447686737,0.000825225771857436,0.0184526092265796,0.0203371696434497,0.0888991886221777,0.00122032096366203,0.0272872062911635,0.0929847739234961,0.043256154425918,0.000884058197876755,0.0197681422651838,0.0475509493642155,-0.0253731986557783,0.00105021048581638,0.0234834203696851,0.0345567258318899,-0.00296002873784618,0.000858836302039985,0.0192041635290595,0.0194119568098127,-0.0892632077480231,0.000928716696170505,0.0207667366447627,0.091642321520343,500,0
0.05,0.5,0.430911127140793,0.00154537800267665,0.0345557026491784,0.432291693057079,0.25031363842493,0.00129221572024023,0.0288948219205101,0.251972535197543,0.0431324619599072,0.000795856737294583,0.0177958976494188,0.0466526511564469,0.00886394288720571,0.000805086047854841,0.0180022713074007,0.0200500147677865,0.0483633557041798,0.00110286140003219,0.0246607306023257,0.054276601823823,0.0343335678041667,0.000858873494214903,0.019204995171373,0.0393304977595848,-0.0265659194070194,0.00104561995326787,0.023380772941371,0.0353739352658073,-0.00290923488026185,0.000860700179119166,0.019245841087567,0.0194454427040908,-0.0880279313098092,0.000963168880156022,0.0215371108984121,0.0906191819773457,500,0
0.05,0.7,0.514230114149051,0.00174916961110044,0.0391126215459746,0.51571246627129,0.24209583949393,0.00127283490738731,0.0284614537705268,0.243759778762414,0.0492087596361714,0.000833137006404554,0.0186295098089126,0.052610517421704,0.0107021300059671,0.000825778836045816,0.018464976117791,0.0213262518743719,0.090902532991497,0.00118690897080112,0.0265400914181561,0.0946902223244265,0.0467343321127112,0.000876920886114736,0.019608547122419,0.0506737005559374,-0.0260409277650042,0.00106066421635221,0.0237171728906508,0.0352066641448368,-0.001469887206071,0.000878604346829722,0.0196461904483806,0.0196814994838896,-0.0864366252727209,0.000948146144875622,0.0212011923254626,0.0889937175504315,500,0
0.1,0.5,0.43792944922248,0.00157300490019429,0.0351734588577471,0.439336887092247,0.257910244059521,0.00124490510875565,0.0278369244871441,0.25940516295366,0.0460443086397184,0.000837889962578289,0.0187357891398981,0.0497031799104944,0.0109400261369217,0.000828489166736951,0.0185255809544598,0.0214987192008587,0.0512070479974567,0.00112156845092055,0.0250790329767748,0.0570075586556194,0.0371933386942636,0.000896248463152189,0.0200407248833801,0.0422394582797865,-0.0246203053982738,0.00104938967815296,0.0234650665523663,0.0339951109354659,-0.00111997638637229,0.000894940663232192,0.0200114815881593,0.0200228075870634,-0.0862478213476586,0.00103404896308624,0.0231220377352401,0.0892874350566161,500,0
0.1,0.7,0.523184536094666,0.00185640799491147,0.0415105447059614,0.524825435625726,0.247112093982353,0.00131315447291976,0.0293630266640649,0.248847041277465,0.0503251423959921,0.000839699283403716,0.0187762467834857,0.0537071904456441,0.00892235484710691,0.00082375986017959,0.0184198304449729,0.0204504276075587,0.094821142365626,0.00125364082728487,0.0280322610917804,0.0988700413983741,0.0481379623796974,0.000905933450141145,0.0202572877760652,0.05221877454226,-0.0270732384894298,0.00109350318405709,0.0244514745316411,0.0364642167043733,-0.00305183333211967,0.000887458364291133,0.0198441722975575,0.0200578483021942,-0.0876808459050129,0.000988148956411809,0.0220956823843228,0.0904166659432177,500,0
0.2,0.5,0.454416839133825,0.00157945367916211,0.0353176579391862,0.455784495103509,0.266672417173605,0.00128181337376214,0.0286622183820049,0.268205253114598,0.0524531070542225,0.000811716540245229,0.0181505336244928,0.0554987515783361,0.00881759029358853,0.000779000983442488,0.0174189915351659,0.0195080578775942,0.0616127095561379,0.0011378438829138,0.0254429626997757,0.0666496484693602,0.0448977427367125,0.000859700765627814,0.0192234935225241,0.0488324781334732,-0.0269798746887774,0.00104755195806649,0.0234239738819967,0.035714126414372,-0.00272968529478812,0.000836155582911541,0.0186970072315617,0.0188767080039613,-0.085146314697707,0.000940627081508683,0.0210330609573065,0.0877006258844728,500,0
0.2,0.7,0.572234291124378,0.00194376632957719,0.0434639364530985,0.573879272567911,0.262754097460637,0.00129255657100921,0.0289024435754064,0.26433576427433,0.064492299540277,0.000824666527468017,0.0184401041418718,0.0670717083864304,0.00880365146829942,0.000779530342122807,0.0174308283551026,0.0195123137727449,0.123200742324533,0.00128951045187706,0.0288343302809357,0.126523431327405,0.0642193603728811,0.000900061559435115,0.0201259883083138,0.0672931760379728,-0.0274926214761972,0.0010648239603454,0.0238101875940285,0.0363543039931968,-0.00290377298550759,0.000859627499159766,0.0192218552344938,0.0194209334680362,-0.0846401575972072,0.000978508317803059,0.0218801111515661,0.0874170353166759,500,0
0.4,0.5,0.518218070546507,0.00173497168594878,0.0387951462881888,0.519665297946395,0.301853067595459,0.00130717482246299,0.0292293176150346,0.30326212872532,0.0812005056804128,0.000822885644353012,0.0184002823848205,0.0832551222076587,0.00883228988420814,0.000762189461239471,0.017043074470654,0.019180583912804,0.104354698903633,0.00114500054810056,0.0256029905982736,0.1074434981029,0.0770905719288795,0.000872881838740584,0.0195182312774895,0.0795182728045504,-0.0251822567595474,0.00100160477726589,0.0223965636855506,0.033686034321286,-0.00249166330703843,0.000823570301826618,0.0184155917913434,0.0185651323458516,-0.0792133764902406,0.000923447538577481,0.0206489146991411,0.0818552621270039,500,0
0.4,0.7,0.744121533492844,0.00252078975365456,0.0563665724615653,0.746249082222434,0.332415099071104,0.00148739073607987,0.0332590679497805,0.334071476424041,0.117734603955817,0.000974480067752947,0.0217900367421419,0.119730084182942,0.00862633449178207,0.000838184868987107,0.0187423834476693,0.0206152378154844,0.218473844820973,0.0014929210781969,0.0333827301589055,0.221004521968161,0.123159906511534,0.00104241240165006,0.0233090499067836,0.125341883486214,-0.024263966051251,0.00112906520436928,0.025246665479994,0.034997991058906,-0.00225491282533041,0.000902581254756584,0.0201823304085278,0.0202878396988784,-0.0712768228483846,0.000983067747796083,0.0219820631055966,0.0745830419836954,500,0
